,0
0,"['nuclear', 'war', 'haunt', 'war', 'bring', 'nuke', 'war', 'back', 'watch', 'report']"
1,"['know', 'genocide', 'going', 'even', 'though', 'know', 'speak', 'city', 'invasion', 'jealousy', 'hate', 'freedom', 'since']"
2,"['seven', 'suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'source', 'member', 'public', 'council', 'state', 'agency', 'exclusion', 'zone', 'via', 'news', 'agency']"
3,"['show', 'unpredictable', 'ambiguity', 'world', 'constantly', 'worried', 'concern', 'vain', 'decision', 'maker', 'nuclear', 'tsunami', 'russia', 'associated', 'risk', 'maybe', 'absolute', 'annihilation']"
4,"['historic', 'caught', 'destruction', 'could', 'wartime', 'strategy', 'say', 'northeastern']"
5,"['uncommon', 'vehicle', 'articulated', 'terrain', 'vehicle']"
6,"['join', 'critical', 'meeting', 'russia', 'invasion', 'historical', 'context', 'basis', 'upon', 'new', 'anti', 'war', 'movement', 'must', 'built', 'antiwar']"
7,"['sure', 'one', 'would', 'talking', 'violence', 'answer']"
8,"['hey', 'mike', 'know', 'missing', 'one', 'biggest', 'ever', 'everything', 'war', 'death', 'oppression', 'hope', 'story', 'missing', 'hacker', 'army', 'anonymous', 'federation', 'banking', 'hack']"
9,"['nuclear', 'war', 'haunt', 'war', 'bring', 'nuke', 'war', 'back', 'watch', 'report']"
10,"['uncommon', 'vehicle', 'articulated', 'terrain', 'vehicle']"
11,"['military', 'engineering', 'vehicle', 'lost', 'army', 'tractor', 'per', 'tradition']"
12,"['us', 'commander', 'deterrence', 'strategy']"
13,"['war', 'criminal', 'responsible', 'responsible', 'starting', 'responsible', 'death', 'destruction', 'resist']"
14,"['suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'employee', 'state', 'agency', 'exclusion', 'zone', 'management', 'said', 'running', 'away', 'irradiated']"
15,"['respect', 'situation', 'per', 'refuse', 'medical', 'assistance', 'military', 'territorial', 'defence', 'provided', 'medical', 'treatment', 'secret', 'police', 'mass']"
16,"['covering', 'monument', 'protect', 'patriotic', 'war']"
17,"['boy', 'cat', 'lost', 'crossing', 'border']"
18,"['seven', 'suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'source', 'member', 'public', 'council', 'state', 'agency', 'exclusion', 'zone', 'via', 'news', 'agency']"
19,"['russia', 'pounding', 'skepticism', 'war', 'million', 'truly', 'think', 'intended', 'back']"
20,"['respect', 'situation', 'per', 'nationalist', 'continue', 'staging', 'heavy', 'artillery', 'residential', 'firing', 'apartment']"
