,0
0,"['russia', 'finland', 'personality']"
1,"['state', 'duma', 'member', 'list', 'russia']"
2,"['million', 'direct', 'budgetary', 'aid', 'government', 'use', 'money', 'military', 'spending', 'humanitarian', 'goods', 'fund', 'government', 'decamp', 'russia']"
3,"['russia', 'finland', 'personality']"
4,"['history', 'documentary', 'queen', 'sainted', 'shield', 'documentary', 'mar']"
5,"['beyond', 'politics', 'long', 'term', 'production', 'russia', 'energy']"
6,"['shah', 'china', 'tried', 'make', 'world', 'politics', 'try', 'make', 'replace', 'understand']"
7,"['around', 'capital', 'another', 'city', 'overnight', 'regional', 'said', 'scale', 'back', 'military']"
8,"['spent', 'yacht', 'every', 'year', 'money', 'come', 'comes', 'corruption', 'theft', 'time', 'us', 'take', 'back', 'money', 'corruption', 'russia']"
9,"['open', 'note', 'sponsor', 'give', 'name', 'company', 'name', 'sign', 'already', 'actual', 'fee']"
10,"['russia', 'finland', 'personality']"
11,"['raising', 'funds', 'stand']"
12,"['live', 'peach', 'voice', 'bookworm', 'fantasy', 'fi', 'epic', 'poetry', 'adventure', 'twitter']"
13,"['live', 'peach', 'voice', 'bookworm', 'fantasy', 'fi', 'epic', 'poetry', 'adventure', 'twitter']"
14,"['live', 'peach', 'voice', 'bookworm', 'fantasy', 'fi', 'epic', 'poetry', 'adventure', 'twitter']"
15,"['police', 'general', 'hostage', 'exchange', 'evacuation']"
16,"['anonymous', 'investment', 'firm', 'oligarch', 'involved', 'project', 'build', 'satellite', 'city', 'saint']"
17,"['russia', 'finland', 'personality']"
18,"['previously', 'unseen', 'rare', 'footage', 'sam', 'system', 'use', 'apparently', 'target', 'whether', 'jet', 'drone', 'missile', 'unknown', 'location', 'date', 'unknown']"
19,['painting']
20,"['russia', 'military', 'armchair', 'saying', 'taught']"
21,"['north', 'atlantic', 'treaty', 'alliance', 'international', 'intergovernmental', 'military', 'alliance', 'north', 'constitute', 'north', 'atlantic', 'treaty', 'organization']"
22,"['first', 'leg', 'aid', 'run', 'see', 'tomorrow']"
23,"['c', 'today', 'min', 'c', 'today', 'c', 'month', 'min', 'c', 'month', 'c']"
24,"['army', 'bombed', 'hospital', 'building', 'marked', 'red', 'cross', 'sign']"
25,"['spotted', 'international', 'airport', 'way', 'march', 'concert', 'perform', 'new', 'collaboration', 'bam', 'bam', 'live', 'together', 'first', 'time', 'b']"
26,"['lake', 'formed', 'ancient', 'rift', 'valley', 'voluminous', 'lake', 'world', 'photography', 'lake', 'russia']"
27,"['shah', 'china', 'tried', 'make', 'world', 'politics', 'try', 'make', 'replace', 'understand']"
28,"['babushka', 'look', 'babushka']"
29,"['russia', 'invasion', 'us', 'un', 'irrelevant']"
30,"['real', 'journalism']"
31,"['new', 'cell', 'phone', 'video', 'russia', 'see', 'local', 'ammunition', 'depot', 'could', 'army', 'outdated', 'ammo', 'long', 'term', 'detonate', 'transportation', 'loading']"
32,"['behalf', 'stand']"
33,['meanwhile']
34,"['detailed', 'map', 'situation']"
35,"['russia', 'via']"
36,"['video', 'new', 'footage', 'today', 'russia']"
37,"['sale', 'iconic', 'card', 'grading', 'mint', 'rookie', 'graded']"
38,"['garden', 'honor', 'cold', 'press', 'paper', 'art', 'artist']"
39,"['administration', 'lift', 'title', 'border', 'policy', 'immediate', 'deportation']"
40,"['needs', 'aircraft']"
41,"['found', 'bot']"
42,"['vet', 'friend', 'everyone']"
43,"['going', 'get', 'bottom', 'anonymous']"
44,['look']
45,"['newspaper', 'government', 'finance', 'us', 'military', 'research', 'program']"
46,"['map', 'approximate', 'situation', 'breaking']"
47,"['armored', 'vehicle', 'little', 'flip', 'running']"
48,"['forcibly', 'russia']"
49,"['cargo', 'truck', 'said', 'loaded', 'ammo', 'respectively', 'month']"
50,"['babushka', 'look', 'babushka']"
51,['give']
52,"['live', 'border', 'episode', 'part', 'russia', 'news', 'attack', 'crime', 'wa', 'country', 'girl', 'news', 'eu']"
53,"['supply', 'truck', 'belonging', 'army', 'north']"
54,"['still', 'people', 'gas']"
55,"['giving', 'russia']"
56,"['anonymous', 'investment', 'firm', 'oligarch', 'involved', 'project', 'build', 'satellite', 'city', 'saint']"
57,"['complete', 'closure', 'border', 'ambassador']"
58,"['radical', 'plan', 'fossil', 'russia']"
59,"['spent', 'yacht', 'every', 'year', 'money', 'come', 'comes', 'corruption', 'theft', 'time', 'us', 'take', 'back', 'money', 'corruption', 'russia']"
60,"['green', 'parrot']"
61,"['classic', 'russia']"
62,"['armored', 'field', 'ambulance', 'march', 'right', 'used', 'armed', 'personnel', 'carrier', 'additional', 'heavy', 'machine', 'mounted', 'vehicle']"
63,"['difference', 'asylum', 'asylum', 'sudden', 'finding', 'used', 'talking', 'point', 'white', 'house', 'press', 'reason', 'could', 'stay']"
64,"['complete', 'closure', 'border', 'ambassador']"
65,"['russia', 'central', 'bank', 'gold']"
66,"['today', 'radiation', 'sickness']"
67,"['meanwhile', 'russia', 'ruble', 'post', 'sanction', 'recovery', 'fixed', 'rub', 'gold', 'trade', 'non', 'increasing', 'gas', 'ruble', 'gold']"
68,"['china', 'russia', 'hold', 'russia', 'china']"
69,"['already', 'seeing', 'people', 'going', 'back', 'still', 'pushing', 'narrative', 'majority', 'wo', 'come', 'back']"
70,"['complete', 'closure', 'border', 'ambassador']"
71,"['update', 'satellite', 'image', 'confirming', 'claim', 'confirmed', 'spokesman', 'international', 'committee', 'red', 'cross', 'building', 'red', 'cross', 'building']"
72,[]
73,['russia']
74,"['complete', 'closure', 'border', 'ambassador']"
75,['russia']
76,"['embassy', 'russia', 'starting', 'lifting']"
77,"['previously', 'unseen', 'rare', 'footage', 'sam', 'system', 'use', 'apparently', 'target', 'whether', 'jet', 'drone', 'missile', 'unknown', 'location', 'date', 'unknown']"
78,"['epic', 'self', 'vice', 'president', 'last', 'time', 'russia', 'pattern']"
79,"['shah', 'china', 'tried', 'make', 'world', 'politics', 'try', 'make', 'replace', 'understand']"
80,"['see', 'read', 'thread', 'thread']"
81,"['self', 'working', 'direction', 'russia']"
82,"['hello', 'people', 'message']"
83,"['get', 'capital', 'least', 'days', 'drive', 'long', 'many']"
84,['march']
85,"['rising', 'going', 'trump', 'plus']"
86,"['see', 'aka', 'ford', 'mint']"
87,"['live', 'peach', 'voice', 'bookworm', 'fantasy', 'fi', 'epic', 'poetry', 'adventure', 'twitter']"
88,"['live', 'peach', 'voice', 'bookworm', 'fantasy', 'fi', 'epic', 'poetry', 'adventure', 'twitter']"
89,"['anonymous', 'feed', 'us', 'government']"
90,"['inside', 'multimillion', 'dollar', 'energy', 'company']"
91,"['still', 'people', 'gas']"
92,"['live', 'peach', 'voice', 'bookworm', 'fantasy', 'fi', 'epic', 'poetry', 'adventure', 'twitter']"
93,"['mayor', 'flag', 'photo', 'office', 'every', 'republican', 'turned', 'pro', 'russia', 'trump', 'russia']"
94,['palace']
95,"['west', 'watch', 'world', 'russia', 'ruble']"
96,"['map', 'approximate', 'situation', 'breaking']"
97,"['wounded', 'comrade']"
98,"['russia', 'hold', 'round', 'turkey', 'discussion', 'considered', 'constructive', 'according', 'exchange', 'outline', 'ways', 'de', 'included']"
99,"['tested', 'hover', 'land', 'mines', 'exit', 'via', 'telegram']"
100,['claim']
101,['march']
102,"['call', 'deep', 'hole', 'tsar', 'chasm']"
103,"['live', 'peach', 'voice', 'bookworm', 'fantasy', 'fi', 'epic', 'poetry', 'adventure', 'twitter']"
104,"['city', 'hall']"
105,"['village', 'region', 'tank', 'burning', 'background']"
106,"['presentation', 'russia', 'humanitarian']"
107,"['day', 'invasion', 'summary', 'situation', 'available']"
108,"['pace', 'pace']"
109,"['russia', 'making', 'fairer', 'world']"
110,"['get', 'capital', 'least', 'days', 'drive', 'long', 'many']"
111,"['road', 'army', 'anti', 'tank', 'mines', 'region', 'russia']"
112,['nuclear']
113,['russia']
114,"['west', 'watch', 'globe', 'russia', 'ruble']"
115,"['anonymous', 'message']"
116,"['get', 'inside', 'ca', 'communicate', 'point', 'agency', 'high', 'commissioner']"
117,"['advanced', 'operating', 'throughout', 'land', 'sea', 'air', 'space', 'alliance', 'deter', 'threat', 'defend', 'allies', 'invasion', 'led', 'allies', 'adjust', 'transatlantic', 'security']"
118,"['breaking', 'news', 'russia', 'trump', 'president', 'knew', 'russia', 'beyond']"
119,"['brook', 'tha', 'via']"
