,0
0,"['humanitarian', 'drive', 'medicine', 'warm', 'clothes']"
1,"['morning', 'praying', 'holy', 'rosary', 'leading', 'us', 'true', 'peace', 'love', 'mary', 'queen', 'rosary', 'make', 'us', 'realize', 'need', 'pray', 'love', 'video']"
2,"['moral', 'support']"
3,"['work', 'foreign', 'agent']"
4,"['anonymous', 'collective', 'sent', 'anti', 'war', 'cell', 'phone', 'tell', 'truth', 'invasion']"
5,"['thanks', 'support', 'please', 'stop', 'supporting', 'please', 'move', 'world', 'busy', 'place', 'whole', 'host', 'humbly', 'ask', 'stay', 'people', 'long', 'haul']"
6,"['wonderful', 'see', 'young', 'community', 'together', 'support', 'well', 'done', 'rowan']"
7,"['around', 'another', 'city', 'scale', 'back', 'military', 'help', 'along']"
8,"['burning', 'russia', 'today', 'march', 'city', 'let', 'evacuate', 'happen', 'let', 'come']"
9,"['hard', 'times', 'know', 'alone', 'part', 'community', 'thankful', 'hosting', 'came', 'today', 'safe', 'community']"
10,"['oh', 'million', 'times', 'bipartisan', 'trump', 'begging', 'release', 'dirt', 'keep', 'going', 'back', 'forth']"
11,"['war', 'hearts', 'never', 'forget']"
12,"['yes', 'see', 'hear', 'support', 'course', 'anonymous']"
13,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
14,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
15,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
16,"['market', 'wrap', 'sentiment', 'though', 'risk', 'remains', 'russia', 'peace', 'luna', 'russia']"
17,"['talking', 'peace', 'foundation', 'via']"
18,"['breaking', 'anonymous', 'investment', 'firm', 'oligarch', 'wish', 'asset', 'j', 'trump', 'next']"
19,"['opportunity', 'speak', 'last', 'night', 'highlight', 'without', 'parental', 'care']"
20,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
21,"['group', 'rescue', 'private', 'zoo', 'near', 'capital', 'abandoned', 'army', 'bombed', 'area']"
22,"['new', 'us', 'official', 'newly', 'intelligence', 'russia', 'president', 'felt', 'misled', 'military', 'persistent', 'tension', 'ministry', 'defense', 'per', 'official']"
23,"['following', 'campaign', 'wonder', 'people', 'vote', 'country', 'become', 'another', 'state', 'headed', 'autocrat', 'friendly', 'russia', 'eager', 'provide', 'territory', 'vote']"
24,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
25,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
26,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
27,"['peace', 'russia', 'saying', 'mind', 'joining', 'eu', 'utterly', 'offensive', 'think', 'sovereign']"
28,"['bond', 'broken']"
29,"['hit', 'projectile', 'damage', 'crew', 'lived', 'tank', 'need', 'lot', 'get', 'back', 'action', 'via']"
30,"['behind', 'shoot', 'back', 'escape', 'neo', 'tell', 'truth', 'infamous', 'neo', 'battalion', 'never', 'show', 'tell']"
31,"['alone', 'sister', 'resister']"
32,"['thread', 'help', 'urgently', 'small', 'city', 'chop', 'western', 'city', 'safe', 'closely', 'border', 'many', 'due', 'enough', 'money', 'situation', 'critical']"
33,"['stop', 'believing', 'propaganda', 'army', 'world', 'today', 'army', 'want', 'tell', 'army', 'surprise']"
34,"['japan', 'government', 'send', 'justice', 'minister', 'special', 'envoy', 'laying', 'groundwork', 'via']"
35,"['could', 'go', 'bed', 'sketching', 'explosion', 'artist']"
36,"['thanks', 'support', 'please', 'stop', 'supporting', 'please', 'move', 'world', 'busy', 'place', 'whole', 'host', 'humbly', 'ask', 'stay', 'people', 'long', 'haul']"
37,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
38,"['great', 'anonymous', 'also', 'republican', 'party', 'next']"
39,"['still', 'logic', 'holding', 'russia', 'still', 'full', 'control', 'meanwhile', 'radio', 'spoken', 'witness', 'depth', 'russia', 'tricking', 'taking', 'russia']"
40,"['ready', 'rebuild', 'cabinet', 'proposal', 'offer', 'rebuild', 'soon', 'possible', 'belong', 'whole', 'humanity']"
41,"['best', 'hope', 'dual', 'state', 'close', 'historically', 'may', 'ruined', 'chance', 'politico', 'fox', 'eu', 'drudge']"
42,"['people', 'russia', 'war']"
43,"['must', 'avoid', 'tweet', 'end', 'conclusion', 'squad', 'much', 'part', 'establishment']"
44,"['new', 'us', 'official', 'newly', 'intelligence', 'russia', 'president', 'felt', 'misled', 'military', 'persistent', 'tension', 'ministry', 'defense', 'per', 'official']"
45,"['wondering', 'help', 'conflict', 'open', 'need']"
46,"['china', 'foreign', 'ministry', 'nature', 'relationship', 'russia', 'china']"
